year,code,name
2008,21340,El Paso - TX
2009,21340,El Paso - TX
2010,21340,El Paso - TX
2011,21340,El Paso - TX
2012,21340,El Paso - TX
2007,21060,Elizabethtown - KY
2008,21060,Elizabethtown - KY
2009,21060,Elizabethtown - KY
2010,21060,Elizabethtown - KY
2011,21060,Elizabethtown - KY
2012,21060,Elizabethtown - KY
2007,21140,"Elkhart, Goshen - IN"
2008,21140,"Elkhart, Goshen - IN"
2009,21140,"Elkhart, Goshen - IN"
2010,21140,"Elkhart, Goshen - IN"
2011,21140,"Elkhart, Goshen - IN"
2012,21140,"Elkhart, Goshen - IN"
2007,21300,Elmira - NY
2008,21300,Elmira - NY
2009,21300,Elmira - NY
2010,21300,Elmira - NY
2011,21300,Elmira - NY
2012,21300,Elmira - NY
2007,21500,Erie - PA
2008,21500,Erie - PA
2009,21500,Erie - PA
2010,21500,Erie - PA
2011,21500,Erie - PA
2012,21500,Erie - PA
2007,21660,"Eugene, Springfield - OR"
2008,21660,"Eugene, Springfield - OR"
2009,21660,"Eugene, Springfield - OR"
2010,21660,"Eugene, Springfield - OR"
2011,21660,"Eugene, Springfield - OR"
2012,21660,"Eugene, Springfield - OR"
2007,21780,"Evansville - IN, KY"
2008,21780,"Evansville - IN, KY"
2009,21780,"Evansville - IN, KY"
2010,21780,"Evansville - IN, KY"
2011,21780,"Evansville - IN, KY"
2012,21780,"Evansville - IN, KY"
2007,21820,Fairbanks - AK
2008,21820,Fairbanks - AK
2009,21820,Fairbanks - AK
2010,21820,Fairbanks - AK
2011,21820,Fairbanks - AK
2012,21820,Fairbanks - AK
2007,21940,Fajardo - PR
2008,21940,Fajardo - PR
2009,21940,Fajardo - PR
2010,21940,Fajardo - PR
2011,21940,Fajardo - PR
2012,21940,Fajardo - PR
2007,22020,"Fargo - ND, MN"
2008,22020,"Fargo - ND, MN"
2009,22020,"Fargo - ND, MN"
2010,22020,"Fargo - ND, MN"
2011,22020,"Fargo - ND, MN"
2012,22020,"Fargo - ND, MN"
2007,22140,Farmington - NM
2008,22140,Farmington - NM
2009,22140,Farmington - NM
2010,22140,Farmington - NM
2011,22140,Farmington - NM
2012,22140,Farmington - NM
2007,22180,Fayetteville - NC
2008,22180,Fayetteville - NC
2009,22180,Fayetteville - NC
2010,22180,Fayetteville - NC
2011,22180,Fayetteville - NC
2012,22180,Fayetteville - NC
2007,22220,"Fayetteville, Springdale, Rogers - AR, MO"
2008,22220,"Fayetteville, Springdale, Rogers - AR, MO"
2009,22220,"Fayetteville, Springdale, Rogers - AR, MO"
2010,22220,"Fayetteville, Springdale, Rogers - AR, MO"
2011,22220,"Fayetteville, Springdale, Rogers - AR, MO"
2012,22220,"Fayetteville, Springdale, Rogers - AR, MO"
2007,22380,Flagstaff - AZ
2008,22380,Flagstaff - AZ
2009,22380,Flagstaff - AZ
2010,22380,Flagstaff - AZ
2011,22380,Flagstaff - AZ
2012,22380,Flagstaff - AZ
2007,22420,Flint - MI
2008,22420,Flint - MI
2009,22420,Flint - MI
2010,22420,Flint - MI
2011,22420,Flint - MI
2012,22420,Flint - MI
2007,22500,Florence - SC
2008,22500,Florence - SC
2009,22500,Florence - SC
2010,22500,Florence - SC
2011,22500,Florence - SC
2012,22500,Florence - SC
2007,22520,"Florence, Muscle Shoals - AL"
2008,22520,"Florence, Muscle Shoals - AL"
2009,22520,"Florence, Muscle Shoals - AL"
2010,22520,"Florence, Muscle Shoals - AL"
2011,22520,"Florence, Muscle Shoals - AL"
2012,22520,"Florence, Muscle Shoals - AL"
2007,22540,Fond du Lac - WI
2008,22540,Fond du Lac - WI
2009,22540,Fond du Lac - WI
2010,22540,Fond du Lac - WI
2011,22540,Fond du Lac - WI
2012,22540,Fond du Lac - WI
2007,22660,"Fort Collins, Loveland - CO"
2008,22660,"Fort Collins, Loveland - CO"
